geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2020-09-15,124.68
city,Birmingham,driving,NA,Alabama,United States,2020-09-16,117.62
city,Birmingham,driving,NA,Alabama,United States,2020-09-17,132.48
city,Birmingham,driving,NA,Alabama,United States,2020-09-18,161.49
city,Birmingham,driving,NA,Alabama,United States,2020-09-19,156.77
city,Birmingham,driving,NA,Alabama,United States,2020-09-20,110.75
city,Birmingham,driving,NA,Alabama,United States,2020-09-21,118.18
city,Birmingham,driving,NA,Alabama,United States,2020-09-22,117.94
city,Birmingham,driving,NA,Alabama,United States,2020-09-23,121.25
city,Birmingham,driving,NA,Alabama,United States,2020-09-24,125.85
city,Birmingham,driving,NA,Alabama,United States,2020-09-25,148.67
city,Birmingham,driving,NA,Alabama,United States,2020-09-26,142.26
city,Birmingham,driving,NA,Alabama,United States,2020-09-27,105.51
city,Birmingham,driving,NA,Alabama,United States,2020-09-28,109.7
city,Birmingham,driving,NA,Alabama,United States,2020-09-29,114.17
city,Birmingham,driving,NA,Alabama,United States,2020-09-30,119.49
city,Birmingham,driving,NA,Alabama,United States,2020-10-01,141.47
city,Birmingham,driving,NA,Alabama,United States,2020-10-02,159.03
city,Birmingham,driving,NA,Alabama,United States,2020-10-03,151.98
city,Birmingham,driving,NA,Alabama,United States,2020-10-04,103.53
city,Birmingham,driving,NA,Alabama,United States,2020-10-05,113
city,Birmingham,driving,NA,Alabama,United States,2020-10-06,119.47
city,Birmingham,driving,NA,Alabama,United States,2020-10-07,120.01
city,Birmingham,driving,NA,Alabama,United States,2020-10-08,125.59
city,Birmingham,driving,NA,Alabama,United States,2020-10-09,142.83
city,Birmingham,driving,NA,Alabama,United States,2020-10-10,122.99
city,Birmingham,driving,NA,Alabama,United States,2020-10-11,95.9
city,Birmingham,driving,NA,Alabama,United States,2020-10-12,114.8
city,Birmingham,driving,NA,Alabama,United States,2020-10-13,116.33
city,Birmingham,driving,NA,Alabama,United States,2020-10-14,119.01
city,Birmingham,driving,NA,Alabama,United States,2020-10-15,127.16
city,Birmingham,driving,NA,Alabama,United States,2020-10-16,150.31
city,Birmingham,driving,NA,Alabama,United States,2020-10-17,142.94
city,Birmingham,driving,NA,Alabama,United States,2020-10-18,105.05
city,Birmingham,driving,NA,Alabama,United States,2020-10-19,110.18
city,Birmingham,driving,NA,Alabama,United States,2020-10-20,115.23
city,Birmingham,driving,NA,Alabama,United States,2020-10-21,119
city,Birmingham,driving,NA,Alabama,United States,2020-10-22,125.08
city,Birmingham,driving,NA,Alabama,United States,2020-10-23,151.9
city,Birmingham,driving,NA,Alabama,United States,2020-10-24,126.04
city,Birmingham,driving,NA,Alabama,United States,2020-10-25,101.81
city,Birmingham,driving,NA,Alabama,United States,2020-10-26,112.51
city,Birmingham,driving,NA,Alabama,United States,2020-10-27,117.11
city,Birmingham,driving,NA,Alabama,United States,2020-10-28,115.94
city,Birmingham,driving,NA,Alabama,United States,2020-10-29,125.28
city,Birmingham,driving,NA,Alabama,United States,2020-10-30,151.79
city,Birmingham,driving,NA,Alabama,United States,2020-10-31,140.16
city,Birmingham,driving,NA,Alabama,United States,2020-11-01,99
city,Birmingham,driving,NA,Alabama,United States,2020-11-02,107.17
city,Birmingham,driving,NA,Alabama,United States,2020-11-03,114.85
city,Birmingham,driving,NA,Alabama,United States,2020-11-04,104.24
city,Birmingham,driving,NA,Alabama,United States,2020-11-05,113.06
city,Birmingham,driving,NA,Alabama,United States,2020-11-06,132.83
city,Birmingham,driving,NA,Alabama,United States,2020-11-07,124.54
city,Birmingham,driving,NA,Alabama,United States,2020-11-08,90.98
city,Birmingham,driving,NA,Alabama,United States,2020-11-09,103.58
city,Birmingham,driving,NA,Alabama,United States,2020-11-10,110.06
city,Birmingham,driving,NA,Alabama,United States,2020-11-11,109.49
city,Birmingham,driving,NA,Alabama,United States,2020-11-12,104.61
city,Birmingham,driving,NA,Alabama,United States,2020-11-13,137.49
city,Birmingham,driving,NA,Alabama,United States,2020-11-14,126.86
city,Birmingham,driving,NA,Alabama,United States,2020-11-15,88.41
city,Birmingham,driving,NA,Alabama,United States,2020-11-16,104.91
city,Birmingham,driving,NA,Alabama,United States,2020-11-17,105.19
city,Birmingham,driving,NA,Alabama,United States,2020-11-18,109.61
city,Birmingham,driving,NA,Alabama,United States,2020-11-19,131.68
city,Birmingham,driving,NA,Alabama,United States,2020-11-20,139.93
city,Birmingham,driving,NA,Alabama,United States,2020-11-21,127.65
city,Birmingham,driving,NA,Alabama,United States,2020-11-22,93.54
city,Birmingham,driving,NA,Alabama,United States,2020-11-23,111.84
city,Birmingham,driving,NA,Alabama,United States,2020-11-24,120.07
city,Birmingham,driving,NA,Alabama,United States,2020-11-25,117.43
city,Birmingham,driving,NA,Alabama,United States,2020-11-26,57.28
city,Birmingham,driving,NA,Alabama,United States,2020-11-27,99.44
city,Birmingham,driving,NA,Alabama,United States,2020-11-28,97.01
city,Birmingham,driving,NA,Alabama,United States,2020-11-29,79.69
city,Birmingham,driving,NA,Alabama,United States,2020-11-30,98.51
city,Birmingham,driving,NA,Alabama,United States,2020-12-01,105
city,Birmingham,driving,NA,Alabama,United States,2020-12-02,106.78
city,Birmingham,driving,NA,Alabama,United States,2020-12-03,109
city,Birmingham,driving,NA,Alabama,United States,2020-12-04,119.88
city,Birmingham,driving,NA,Alabama,United States,2020-12-05,113.92
city,Birmingham,driving,NA,Alabama,United States,2020-12-06,80.55
city,Birmingham,driving,NA,Alabama,United States,2020-12-07,99.62
city,Birmingham,driving,NA,Alabama,United States,2020-12-08,105.96
city,Birmingham,driving,NA,Alabama,United States,2020-12-09,108.62
city,Birmingham,driving,NA,Alabama,United States,2020-12-10,113.94
city,Birmingham,driving,NA,Alabama,United States,2020-12-11,132.74
city,Birmingham,driving,NA,Alabama,United States,2020-12-12,117.88
city,Birmingham,driving,NA,Alabama,United States,2020-12-13,87.62
city,Birmingham,driving,NA,Alabama,United States,2020-12-14,105.46
city,Birmingham,driving,NA,Alabama,United States,2020-12-15,110.26
city,Birmingham,driving,NA,Alabama,United States,2020-12-16,109.39
city,Birmingham,driving,NA,Alabama,United States,2020-12-17,118.78
city,Birmingham,driving,NA,Alabama,United States,2020-12-18,139.21
city,Birmingham,driving,NA,Alabama,United States,2020-12-19,117.7
city,Birmingham,driving,NA,Alabama,United States,2020-12-20,88.52
city,Birmingham,driving,NA,Alabama,United States,2020-12-21,124.66
city,Birmingham,driving,NA,Alabama,United States,2020-12-22,123.3
city,Birmingham,driving,NA,Alabama,United States,2020-12-23,128.96
city,Birmingham,driving,NA,Alabama,United States,2020-12-24,87.46
city,Birmingham,driving,NA,Alabama,United States,2020-12-25,46.15
city,Birmingham,driving,NA,Alabama,United States,2020-12-26,90.89
city,Birmingham,driving,NA,Alabama,United States,2020-12-27,81.15
city,Birmingham,driving,NA,Alabama,United States,2020-12-28,101.95
city,Birmingham,driving,NA,Alabama,United States,2020-12-29,105.21
city,Birmingham,driving,NA,Alabama,United States,2020-12-30,112.65
city,Birmingham,driving,NA,Alabama,United States,2020-12-31,111.48
city,Birmingham,driving,NA,Alabama,United States,2021-01-01,76.38
city,Birmingham,driving,NA,Alabama,United States,2021-01-02,101.74
city,Birmingham,driving,NA,Alabama,United States,2021-01-03,80.16
city,Birmingham,driving,NA,Alabama,United States,2021-01-04,102.71
city,Birmingham,driving,NA,Alabama,United States,2021-01-05,105.88
city,Birmingham,driving,NA,Alabama,United States,2021-01-06,101.39
city,Birmingham,driving,NA,Alabama,United States,2021-01-07,100
